,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ALL_NBA_TEAM_NUMBER,NAME
2,707,1998,00,1610612755,PHI,25.0,71,12,906.0,109,244,0.447,0,6,0.0,64,101,0.634,64,94,158,73,49,18,91,95,282,0,Mark Davis
3,707,1999,00,1610612748,MIA,26.0,4,1,35.0,2,6,0.333,0,0,0.0,5,6,0.833,2,5,7,1,1,0,7,12,9,0,Mark Davis
4,707,2000,00,1610612744,GSW,27.0,23,7,464.0,56,137,0.409,0,2,0.0,31,47,0.66,31,53,84,38,25,4,40,52,143,0,Mark Davis
0,200781,2007,00,1610612746,LAC,22.0,31,0,180.0,22,52,0.423,0,0,0.0,7,10,0.7,21,23,44,7,6,5,8,28,51,0,Paul Davis
1,200781,2008,00,1610612746,LAC,23.0,22,1,194.0,24,65,0.369,0,0,0.0,6,10,0.6,25,22,47,10,6,6,9,33,54,0,Paul Davis
2,200781,2009,00,1610612746,LAC,24.0,27,1,320.0,40,98,0.408,0,1,0.0,27,34,0.794,28,39,67,12,10,3,13,44,107,0,Paul Davis
3,200781,2010,00,1610612764,WAS,25.0,2,0,8.0,2,4,0.5,0,0,0.0,1,2,0.5,0,0,0,3,0,1,0,0,5,0,Paul Davis
0,1729,1999,00,1610612766,CHH,19.0,46,1,557.0,81,200,0.405,2,12,0.167,45,59,0.763,40,44,84,58,30,7,54,46,209,0,Ricky Davis
1,1729,2000,00,1610612766,CHH,20.0,48,4,570.0,94,187,0.503,0,4,0.0,39,51,0.765,29,54,83,62,30,8,46,39,227,0,Ricky Davis
2,1729,2001,00,1610612748,MIA,21.0,7,0,70.0,12,29,0.414,1,1,1.0,7,8,0.875,1,6,7,11,5,2,5,7,32,0,Ricky Davis
3,1729,2002,00,1610612739,CLE,22.0,82,8,1954.0,376,781,0.481,11,35,0.314,196,248,0.79,63,180,243,178,69,23,148,145,959,0,Ricky Davis
4,1729,2003,00,1610612739,CLE,23.0,79,76,3131.0,602,1470,0.41,74,204,0.363,348,465,0.748,97,293,390,436,125,36,277,180,1626,0,Ricky Davis
5,1729,2004,00,1610612739,CLE,24.0,22,22,796.0,134,311,0.431,17,48,0.354,51,75,0.68,18,103,121,111,25,8,68,51,336,0,Ricky Davis
6,1729,2004,00,1610612738,BOS,24.0,57,5,1678.0,312,639,0.488,35,92,0.38,145,198,0.732,59,178,237,148,71,14,121,120,804,0,Ricky Davis
7,1729,2004,00,0,TOT,24.0,79,27,2473.0,446,950,0.469,52,140,0.371,196,273,0.718,77,281,358,259,96,22,189,171,1140,0,Ricky Davis
8,1729,2005,00,1610612738,BOS,25.0,82,11,2696.0,481,1041,0.462,61,180,0.339,286,351,0.815,66,183,249,246,89,27,205,174,1309,0,Ricky Davis
9,1729,2006,00,1610612738,BOS,26.0,42,42,1747.0,329,709,0.464,40,125,0.32,129,164,0.787,40,147,187,221,49,9,115,91,827,0,Ricky Davis
10,1729,2006,00,1610612750,MIN,26.0,36,36,1460.0,255,595,0.429,33,117,0.282,146,181,0.807,25,139,164,173,42,8,98,99,689,0,Ricky Davis
11,1729,2006,00,0,TOT,26.0,78,78,3207.0,584,1304,0.448,73,242,0.302,275,345,0.797,65,286,351,394,91,17,213,190,1516,0,Ricky Davis
12,1729,2007,00,1610612750,MIN,27.0,81,81,3021.0,506,1089,0.465,123,310,0.397,239,285,0.839,54,261,315,385,80,23,210,189,1374,0,Ricky Davis
13,1729,2008,00,1610612748,MIA,28.0,82,47,2963.0,420,971,0.433,135,333,0.405,155,197,0.787,55,298,353,276,87,14,191,187,1130,0,Ricky Davis
14,1729,2009,00,1610612746,LAC,29.0,36,9,785.0,83,245,0.339,35,111,0.315,31,36,0.861,9,51,60,82,19,5,39,63,232,0,Ricky Davis
15,1729,2010,00,1610612746,LAC,30.0,36,2,499.0,62,143,0.434,16,42,0.381,18,31,0.581,10,47,57,39,11,3,29,39,158,0,Ricky Davis
0,1629056,2020,00,1610612761,TOR,23.0,72,4,1209.0,199,436,0.456,94,242,0.388,51,59,0.864,50,187,237,115,39,14,76,124,543,0,Terence Davis
1,1629056,2021,00,1610612761,TOR,24.0,34,4,493.0,87,210,0.414,44,122,0.361,16,18,0.889,9,57,66,37,17,7,29,48,234,0,Terence Davis
2,1629056,2021,00,1610612758,SAC,24.0,27,0,581.0,108,246,0.439,54,145,0.372,29,37,0.784,11,77,88,46,27,7,34,49,299,0,Terence Davis
3,1629056,2021,00,0,TOT,24.0,61,4,1074.0,195,456,0.428,98,267,0.367,45,55,0.818,20,134,154,83,44,14,63,97,533,0,Terence Davis
4,1629056,2022,00,1610612758,SAC,25.0,30,11,536.0,113,267,0.423,49,149,0.329,36,44,0.818,11,83,94,40,25,11,33,70,311,0,Terence Davis
5,1629056,2023,00,1610612758,SAC,26.0,64,5,841.0,154,364,0.423,89,243,0.366,34,43,0.791,20,119,139,67,43,12,53,104,431,0,Terence Davis
